,filename,onset,offset,event_label,probability
0,fast.wav,0.0,0.5,silence,0.8
1,fast.wav,0.5,1.0,speech,0.8
2,fast.wav,1.0,1.5,speech,0.8
3,fast.wav,1.5,2.0,speech,0.8
4,fast.wav,2.0,2.5,speech,0.8
5,fast.wav,2.5,3.0,speech,0.8
6,fast.wav,3.0,3.5,speech,0.8
7,fast.wav,3.5,4.0,speech,0.8
8,fast.wav,4.0,4.5,speech,0.8
9,fast.wav,4.5,5.0,speech,0.8
10,fast.wav,5.0,5.5,speech,0.8
11,fast.wav,5.5,6.0,speech,0.8
12,fast.wav,6.0,6.5,speech,0.8
13,fast.wav,6.5,7.0,speech,0.8
14,fast.wav,7.0,7.5,speech,0.8
15,fast.wav,7.5,8.0,speech,0.8
16,fast.wav,8.0,8.5,speech,0.8
17,fast.wav,8.5,9.0,speech,0.8
18,fast.wav,9.0,9.5,speech,0.8
